Gene	Synonymns	Description
OSBPL9P2	-	oxysterol binding protein like 9 pseudogene 2
MTHFD2P6	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 6
SETP17	-	SET pseudogene 17
LOC100130044	-	cilia and flagella associated protein 69 pseudogene
LOC100130048	-	H1 histone family member O oocyte specific pseudogene
LOC100130049	-	ribosomal L1 domain-containing protein 1-like
LOC100130052	-	MAGE family member B3 pseudogene
VN1R70P	-	vomeronasal 1 receptor 70 pseudogene
GNPATP	-	glyceronephosphate O-acyltransferase pseudogene
LOC100130063	-	C-x9-C motif containing 2 pseudogene
EIF4BP4	-	eukaryotic translation initiation factor 4B pseudogene 4
RPL9P22	RPL9_6_1163	ribosomal protein L9 pseudogene 22
HPRT1P1	-	hypoxanthine phosphoribosyltransferase 1 pseudogene 1
RPS27P13	RPS27_6_465	ribosomal protein S27 pseudogene 13
LOC100130072	-	reactive intermediate imine deaminase A homolog pseudogene
IQSEC3P2	-	IQ motif and Sec7 domain 3 pseudogene 2
KRT17P8	-	keratin 17 pseudogene 8
LOC100130075	-	SUZ RNA binding domain containing 1 pseudogene
RFPL4AP6	-	ret finger protein like 4A pseudogene 6
HSFX2	-	heat shock transcription factor family, X-linked 2
LOC100130088	-	STN1, CST complex subunit pseudogene
SFR1P1	-	SFR1 pseudogene 1
KIF28P	KLP-6	kinesin family member 28, pseudogene
MIPEPP2	-	mitochondrial intermediate peptidase pseudogene 2
LOC100130102	-	WW domain binding protein 11 pseudogene
TRIM51CP	-	tripartite motif-containing 51C, pseudogene
RPS23P7	-	ribosomal protein S23 pseudogene 7
ZNF849P	-	zinc finger protein 849, pseudogene
SNRPEP4	-	small nuclear ribonucleoprotein polypeptide E pseudogene 4
ZSWIM5P1	-	zinc finger SWIM-type containing 5 pseudogene 1
LOC100130111	-	uncharacterized LOC100130111
LOC100130114	-	Spi-C transcription factor (Spi-1/PU.1 related) pseudogene
DDX6P2	-	DEAD-box helicase 6 pseudogene 2
LAMTOR3P1	-	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 pseudogene 1
LOC100130121	-	solute carrier family 19 member 3 pseudogene
LOC100130134	-	staufen double-stranded RNA binding protein 2 pseudogene
LOC100130137	-	integrin subunit beta 1 binding protein 1 pseudogene
UBE2D3P2	-	ubiquitin conjugating enzyme E2 D3 pseudogene 2
MAPT-IT1	-	MAPT intronic transcript 1
MIR124-2HG	LINC00966	MIR124-2 host gene
KNOP1P5	-	lysine rich nucleolar protein 1 pseudogene 5
NUS1P4	-	NUS1 pseudogene 4
LOC100130170	-	chromosome 12 open reading frame 49 pseudogene
LOC100130171	-	Jupiter microtubule associated homolog 1 pseudogene
LOC100130172	-	uncharacterized LOC100130172
LOC100130176	-	transmembrane protein 188 pseudogene
LOC100130177	-	uracil DNA glycosylase pseudogene
LSM3P4	-	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 4
LOC100130180	-	nuclear factor, erythroid 2 like 3 pseudogene
RPS24P19	RPS24_9_1812	ribosomal protein S24 pseudogene 19
TUBB3P2	-	tubulin beta 3 class III pseudogene 2
SRRM1P3	-	serine/arginine repetitive matrix 1 pseudogene 3
RPS12P31	RPS12_17_1644	ribosomal protein S12 pseudogene 31
HNRNPCP9	-	heterogeneous nuclear ribonucleoprotein C pseudogene 9
EFCAB14-AS1	KIAA0494-AS1	EFCAB14 antisense RNA 1
LOC100130203	-	cell adhesion associated, oncogene regulated pseudogene
NIPA2P2	-	NIPA magnesium transporter 2 pseudogene 2
LOC100130207	-	uncharacterized LOC100130207
LOC100130209	-	charged multivesicular body protein 4A pseudogene
LOC100130210	-	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene
EEF1A1P29	-	eukaryotic translation elongation factor 1 alpha 1 pseudogene 29
RPL13P11	RPL13_3_914	ribosomal protein L13 pseudogene 11
LINC00861	-	long intergenic non-protein coding RNA 861
NPM1P8	-	nucleophosmin 1 pseudogene 8
EEF1A1P27	-	eukaryotic translation elongation factor 1 alpha 1 pseudogene 27
KATNBL1P2	-	katanin regulatory subunit B1 like 1 pseudogene 2
LOC100130238	-	uncharacterized LOC100130238
UBA52P6	RPL40_3_969	ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 6
RPS5P2	RPS5_4_1727	ribosomal protein S5 pseudogene 2
COX6CP3	-	cytochrome c oxidase subunit 6C pseudogene 3
PP2672	-	uncharacterized LOC100130249
NXNP1	-	nucleoredoxin pseudogene 1
RCBTB2P1	-	RCC1 and BTB domain containing protein 2 pseudogene 1
LOC100130256	-	uncharacterized LOC100130256
SALL4P2	-	spalt like transcription factor 4 pseudogene 2
EEF1GP2	-	eukaryotic translation elongation factor 1 gamma pseudogene 2
LOC100130264	-	uncharacterized LOC100130264
ARL2BPP4	-	ADP ribosylation factor like GTPase 2 binding protein pseudogene 4
LOC100130268	-	uncharacterized LOC100130268
LOC100130270	-	NDUFA4, mitochondrial complex associated pseudogene
CCDC166	-	coiled-coil domain containing 166
TFAP2A-AS1	-	TFAP2A antisense RNA 1
CDC27P2	-	cell division cycle 27 pseudogene 2
HMGB1P44	-	high mobility group box 1 pseudogene 44
LOC100130283	-	uncharacterized LOC100130283
RPL34P11	RPL34_6_354	ribosomal protein L34 pseudogene 11
SNRPGP10	-	small nuclear ribonucleoprotein polypeptide G pseudogene 10
LOC100130298	-	hCG1816373-like
LOC100130299	-	isopentenyl-diphosphate delta isomerase 1 pseudogene
RPS27AP13	RPS27A_4_904	ribosomal protein S27a pseudogene 13
C8orf89	-	chromosome 8 open reading frame 89
SUPT20HL1	FAM48B1|SPT20L	SUPT20H like 1
SPDYE19P	-	speedy/RINGO cell cycle regulator family member E19, pseudogene
MSANTD2P1	-	Myb/SANT DNA binding domain containing 2 pseudogene 1
C17orf107	-	chromosome 17 open reading frame 107
RPS6P23	-	ribosomal protein S6 pseudogene 23
SELENOTP2	-	selenoprotein T pseudogene 2
TAF9BP2	-	TATA-box binding protein associated factor 9b pseudogene 2
LOC100130321	-	DNA fragmentation factor subunit alpha pseudogene
LOC100130326	-	transmembrane protein 183A pseudogene
NDUFA5P5	-	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 5
LOC100130329	-	solute carrier family 41 member 2 pseudogene
LOC100130331	-	POTE ankyrin domain family, member F pseudogene
NAP1L1P3	-	nucleosome assembly protein 1 like 1 pseudogene 3
PABPC1P9	-	poly(A) binding protein cytoplasmic 1 pseudogene 9
SCGB2B3P	C2B|SCGB4A3P	secretoglobin family 2B member 3, pseudogene
LOC100130345	-	cadherin-related family member 3-like
RPS6P5	RPS6_2_487	ribosomal protein S6 pseudogene 5
TMEM262	-	transmembrane protein 262
LOC100130353	-	major facilitator superfamily domain containing 14B pseudogene
LOC100130357	-	uncharacterized LOC100130357
MED28P4	-	mediator complex subunit 28 pseudogene 4
CXorf49	CXorf49B	chromosome X open reading frame 49
SNRPGP4	-	small nuclear ribonucleoprotein polypeptide G pseudogene 4
LOC100130370	-	uncharacterized LOC100130370
LOC100130373	-	uncharacterized LOC100130373
RPL13P14	RPL13_6_1708	ribosomal protein L13 pseudogene 14
MTRF1LP2	-	mitochondrial translational release factor 1 like pseudogene 2
HIGD1AP12	-	HIG1 hypoxia inducible domain family member 1A pseudogene 12
CENPUP1	-	centromere protein U pseudogene 1
LINC00552	-	long intergenic non-protein coding RNA 552
EEF1E1P1	-	eukaryotic translation elongation factor 1 epsilon 1 pseudogene 1
YWHAQP5	-	YWHAQ pseudogene 5
RPL9P20	RPL9_7_879	ribosomal protein L9 pseudogene 20
LOC100130394	-	translation machinery associated 7 homolog (S. cerevisiae) pseudogene
ATP5MGP4	ATP5LP4	ATP synthase membrane subunit g pseudogene 4
RPL21P92	RPL21_38_1051	ribosomal protein L21 pseudogene 92
B3GALNT2P1	-	beta-1,3-N-acetylgalactosaminyltransferase 2 pseudogene 1
LOC100130403	-	replication protein A3, 14kDa pseudogene
HMGB3P26	-	high mobility group box 3 pseudogene 26
BTF3P15	-	basic transcription factor 3 pseudogene 15
LINC02593	-	long intergenic non-protein coding RNA 2593
CECR7	CYCL|SAHL1	cat eye syndrome chromosome region, candidate 7
RPS7P13	RPS7_7_1794	ribosomal protein S7 pseudogene 13
LOC100130437	-	transmembrane protein 126A pseudogene
RPS27AP12	RPS27A_5_866	ribosomal protein S27a pseudogene 12
RPL12P16	RPL12_4_315	ribosomal protein L12 pseudogene 16
MRS2P1	MRS2LP1	MRS2 pseudogene 1
LOC100130449	-	uncharacterized LOC100130449
RPL3P5	RPL3_1_338	ribosomal protein L3 pseudogene 5
LOC100130451	-	uncharacterized LOC100130451
LOC100130452	-	uncharacterized LOC100130452
LOC100130455	-	shieldin complex subunit 1 pseudogene
LOC100130459	-	serine/arginine-rich splicing factor RSZ22A-like
CAND1.11	-	uncharacterized LOC100130460
CBX1P4	-	chromobox 1 pseudogene 4
HNF4GP1	-	hepatocyte nuclear factor 4 gamma pseudogene 1
NUCKS1P1	-	nuclear casein kinase and cyclin dependent kinase substrate 1 pseudogene 1
LOC100130476	-	uncharacterized LOC100130476
LINC01387	C18orf64	long intergenic non-protein coding RNA 1387
CCT6P4	CCT6-4P	chaperonin containing TCP1 subunit 6 pseudogene 4
UBFD1P1	-	ubiquitin family domain containing 1 pseudogene 1
LOC100130485	-	FKBP prolyl isomerase 3 pseudogene
LOC100130487	-	WD repeat domain 89 pseudogene
LOC100130488	-	glucoside xylosyltransferase 2 pseudogene
TPRG1LP1	-	tumor protein p63 regulated 1 like pseudogene 1
RPS12P26	RPS12_12_1461	ribosomal protein S12 pseudogene 26
LOC100130497	-	dnaJ homolog subfamily B member 6-like
LOC100130500	-	S-phase kinase associated protein 2 pseudogene
PGAM1P1	-	phosphoglycerate mutase 1 pseudogene 1
TMEM221	-	transmembrane protein 221
CD300H	CD300Hs	CD300H molecule (gene/pseudogene)
PARD6G-AS1	-	PARD6G antisense RNA 1
RPL5P8	RPL5_3_323	ribosomal protein L5 pseudogene 8
RPL6P23	-	ribosomal protein L6 pseudogene
SUCLG2P4	-	succinate-CoA ligase GDP-forming beta subunit pseudogene 4
LOC100130531	-	ribosomal protein L39 pseudogene
LOC100130532	-	F-box protein 38 pseudogene
VIM2P	VIM2|VIMP1|lncRNA-CIR	vimentin 2, pseudogene
RPL31P26	RPL31_7_527	ribosomal protein L31 pseudogene 26
C10orf142	-	chromosome 10 open reading frame 142
LOC100130548	-	uncharacterized LOC100130548
ISCA1P6	-	iron-sulfur cluster assembly 1 pseudogene 6
LOC100130550	-	g2/M phase-specific E3 ubiquitin-protein ligase-like
RPL23AP68	RPL23A_26_1264	ribosomal protein L23a pseudogene 68
NFYC-AS1	0808y08y	NFYC antisense RNA 1
HMGB1P10	HMG1L10|HMGB1L10|bK445C9.3	high mobility group box 1 pseudogene 10
RPS2P5	RPS2_20_1284|bcm384	ribosomal protein S2 pseudogene 5
SEPT7P7	-	septin 7 pseudogene 7
EIF1P4	-	eukaryotic translation initiation factor 1 pseudogene 4
LOC100130571	-	coiled-coil domain containing 107 pseudogene
RAD23BP2	-	RAD23 homolog B pseudogene 2
LOC100130574	-	thiosulfate sulfurtransferase like domain containing 1 pseudogene
PHBP20	-	prohibitin pseudogene 20
LINC00910	-	long intergenic non-protein coding RNA 910
LOC100130582	-	myosin light chain 9 pseudogene
CLIC4P2	-	chloride intracellular channel 4 pseudogene 2
LOC100130587	-	uncharacterized LOC100130587
CICP14	-	capicua transcriptional repressor pseudogene 14
LOC100130602	-	regulation of nuclear pre-mRNA domain containing 1A pseudogene
RBM22P13	-	RNA binding motif protein 22 pseudogene 13
NPM1P51	-	nucleophosmin 1 pseudogene 51
LOC100130607	-	WD repeat domain 4 pseudogene
LOC100130612	-	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene
PRR32	CXorf64	proline rich 32
LOC100130618	-	tetratricopeptide repeat domain 14 pseudogene
LOC100130620	-	tropomyosin 2 pseudogene
RANP4	-	RAN, member RAS oncogene family pseudogene 4
RPL15P22	RPL15_10_1742	ribosomal protein L15 pseudogene 22
ELOCP18	TCEB1P18	elongin C pseudogene 18
RPL23P3	RPL23_1_65	ribosomal protein L23 pseudogene 3
EEF1B2P4	-	eukaryotic translation elongation factor 1 beta 2 pseudogene 4
LOC100130632	-	zinc finger protein 530-like
SPATA31D2P	FAM75D2P	SPATA31 subfamily D member 2, pseudogene
MORF4L1P7	-	mortality factor 4 like 1 pseudogene 7
LOC100130639	-	leucine rich repeat containing 3C pseudogene
YWHAZP7	-	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 7
LOC100130649	-	G protein-coupled receptor 160 pseudogene
HNRNPA1P45	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 45
LOC100130664	-	cytidine/uridine monophosphate kinase 1 pseudogene
IFNWP9	-	interferon omega 1 pseudogene 9
LOC100130673	-	phosphoribosyl pyrophosphate synthetase 2 pseudogene
LOC100130674	-	cathepsin B pseudogene
RPSAP38	RPSA_9_557	ribosomal protein SA pseudogene 38
NFYAP1	NFYAP	nuclear transcription factor Y subunit alpha pseudogene 1
LOC100130680	-	ankyrin repeat domain 49 pseudogene
LOC100130682	-	ubiquitin specific peptidase 12 pseudogene
LOC100130683	-	chromatin assembly factor 1 subunit B pseudogene
LOC100130684	-	fibrous sheath interacting protein 2 pseudogene
FABP5P6	FABP5L6	fatty acid binding protein 5 pseudogene 6
LOC100130691	-	uncharacterized LOC100130691
ARHGAP42P2	-	Rho GTPase activating protein 42 pseudogene 2
LOC100130698	-	uncharacterized LOC100130698
RSL24D1P10	-	ribosomal L24 domain containing 1 pseudogene 10
TP53TG3HP	-	TP53 target 3 family member H, pseudogene
LOC100130701	-	uncharacterized LOC100130701
LOC100130704	-	capping actin protein of muscle Z-line subunit alpha 1 pseudogene
ATP6V1FNB	-	ATP6V1F neighbor
ANP32BP2	-	acidic nuclear phosphoprotein 32 family member B pseudogene 2
LOC100130714	-	metaxin 3 pseudogene
HDHD5-AS1	CECR4|CECR5-AS1|NCRNA00017	HDHD5 antisense RNA 1
RPL34P26	RPL34_12_1312	ribosomal protein L34 pseudogene 26
UQCRBP2	-	ubiquinol-cytochrome c reductase binding protein pseudogene 2
RSL24D1P3	-	ribosomal L24 domain containing 1 pseudogene 3
LOC100130724	-	cyclin Y like 1 pseudogene
LOC100130731	-	proteasome subunit beta 1 pseudogene
LRRC70	SLRN	leucine rich repeat containing 70
LRRC69	-	leucine rich repeat containing 69
LOC100130744	-	uncharacterized LOC100130744
LOC100130746	-	AKT interacting protein pseudogene
LOC100130747	-	N-acetylneuraminic acid phosphatase pseudogene
LOC100130748	-	3-hydroxyisobutyryl-Coenzyme A hydrolase pseudogene
RPS8P9	RPS8_4_974	ribosomal protein S8 pseudogene 9
UQCRHP1	Em:AF129756.18|UQCRHP5	ubiquinol-cytochrome c reductase hinge protein pseudogene 1
METTL15P1	METT5D2	methyltransferase like 15 pseudogene 1
LOC100130760	-	jumonji domain containing 4 pseudogene
LOC100130766	-	metastasis associated 1 family member 3 pseudogene
EFCAB10	-	EF-hand calcium binding domain 10
RPS27P23	RPS27_13_1271	ribosomal protein S27 pseudogene 23
AGAP2-AS1	PUNISHER	AGAP2 antisense RNA 1
LOC100130778	-	uncharacterized LOC100130778
RPS15AP15	RPS15A_6_237	ribosomal protein S15a pseudogene 15
LOC100130783	-	NADH:ubiquinone oxidoreductase complex assembly factor 2 pseudogene
SALL4P5	-	spalt like transcription factor 4 pseudogene 5
RPS3AP22	RPS3A_9_594	ribosomal protein S3a pseudogene 22
RPL29P27	RPL29_13_1221	ribosomal protein L29 pseudogene 27
NDUFS5P7	-	NADH:ubiquinone oxidoreductase subunit S5 pseudogene 7
SRSF10P1	FUSIP1P|HsT2687|SFRS13AP1	serine and arginine rich splicing factor 10 pseudogene 1
LOC100130801	-	lupus La protein pseudogene
RPL39P13	RPL39_3_72	ribosomal protein L39 pseudogene 13
UBL5P1	-	ubiquitin like 5 pseudogene 1
CCNG1P1	-	cyclin G1 pseudogene 1
OSBPL9P1	-	oxysterol binding protein like 9 pseudogene 1
RPS17P9	RPS17_3_404	ribosomal protein S17 pseudogene 9
SBK3	SGK110	SH3 domain binding kinase family member 3
LOC100130841	-	MDM2 oncogene, E3 ubiquitin protein ligase pseudogene
LOC100130842	-	small integral membrane protein 7 pseudogene
SPRYD7P1	-	SPRY domain containing 7 pseudogene 1
TSPY20P	-	testis specific protein Y-linked 20, pseudogene
LOC100130849	-	phosphorylase kinase catalytic subunit gamma 1 pseudogene
LOC100130854	-	zinc finger protein 562 pseudogene
USP3-AS1	-	USP3 antisense RNA 1
LOC100130861	-	zinc finger protein 736 pseudogene
IFNWP15	-	interferon omega 1 pseudogene 15
ARMC8P1	-	armadillo repeat containing 8 pseudogene 1
LOC100130872	-	uncharacterized LOC100130872
CARM1P1	CARM1L	coactivator associated arginine methyltransferase 1 pseudogene 1
ZNRF2P3	-	zinc and ring finger 2 pseudogene 3
LOC100130880	-	uncharacterized LOC100130880
LOC100130881	-	zinc finger protein 12 pseudogene
ATE1-AS1	-	ATE1 antisense RNA 1
PSORS1C3	NCRNA00196	psoriasis susceptibility 1 candidate 3
TSTD3	-	thiosulfate sulfurtransferase like domain containing 3
LOC100130891	-	PDZ and LIM domain 7 (enigma) pseudogene
RPL7P32	RPL7P|RPL7_15_834	ribosomal protein L7 pseudogene 32
VAC14-AS1	-	VAC14 antisense RNA 1
FLYWCH1P1	-	FLYWCH-type zinc finger 1 pseudogene 1
LOC100130899	-	uncharacterized LOC100130899
LOC100130909	-	ribonuclease T2 pseudogene
RPL22P22	RPL22_10_1790	ribosomal protein L22 pseudogene 22
PSMA2P1	-	proteasome subunit alpha 2 pseudogene 1
RPL5P33	RPL5_18_1557	ribosomal protein L5 pseudogene 33
SNRPGP15	-	small nuclear ribonucleoprotein polypeptide G pseudogene 15
SMIM6	C17orf110|ELN	small integral membrane protein 6
ZNF663P	ZNF663	zinc finger protein 663, pseudogene
CSAG4	-	CSAG family member 4 (pseudogene)
ADI1P1	-	acireductone dioxygenase 1 pseudogene 1
LOC100130950	-	uncharacterized LOC100130950
LINC01502	-	long intergenic non-protein coding RNA 1502
SYCE1L	MRP2	synaptonemal complex central element protein 1 like
ATP5MC1P7	ATP5G1P7	ATP synthase membrane subunit c locus 1 pseudogene 7
RPL38P4	-	ribosomal protein L38 pseudogene 4
LOC100130964	-	ADAM metallopeptidase domain 3A-like
C6orf99	-	chromosome 6 open reading frame 99
RPL7L1P4	-	ribosomal protein L7 like 1 pseudogene 4
CTBP2P2	-	C-terminal binding protein 2 pseudogene 2
PPP1R2P6	-	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 6
RPS2P35	RPS2_12_1000	ribosomal protein S2 pseudogene 35
RPL26P28	RPL26_8_1018	ribosomal protein L26 pseudogene 28
LOC100130987	-	uncharacterized LOC100130987
SPATA48	C7orf72	spermatogenesis associated 48
LOC100130990	-	zinc finger protein 561-like
LOC100130992	-	uncharacterized LOC100130992
UQCRFS1P3	-	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 3
ZNF969P	-	zinc finger protein 969, pseudogene
YPEL5P1	-	YPEL5 pseudogene 1
LOC100131011	-	myotubularin related protein 14 pseudogene
YBX1P4	-	Y-box binding protein 1 pseudogene 4
LOC100131013	-	ribosomal protein L7 like 1 pseudogene
ZNF316	MZF-3	zinc finger protein 316
RPL9P23	RPL9_5_1139	ribosomal protein L9 pseudogene 23
SLC25A5P4	-	solute carrier family 25 member 5 pseudogene 4
LOC100131029	-	transportin 3 pseudogene
ANKRD18EP	-	ankyrin repeat domain 18E, pseudogene
PPIGP1	-	peptidylprolyl isomerase G pseudogene 1
HMGB3P28	-	high mobility group box 3 pseudogene 28
LOC100131038	-	GC-rich promoter binding protein 1 pseudogene
LOC100131041	-	FKBP prolyl isomerase 7 pseudogene
SALL4P3	-	spalt like transcription factor 4 pseudogene 3
LOC100131047	-	uncharacterized LOC100131047
MED28P3	-	mediator complex subunit 28 pseudogene 3
RPS4XP15	RPS4P15|RPS4X_7_1265	ribosomal protein S4X pseudogene 15
LINC01135	-	long intergenic non-protein coding RNA 1135
VN1R38P	-	vomeronasal 1 receptor 38 pseudogene
CKMT2-AS1	-	CKMT2 antisense RNA 1
ERVI-1	-	endogenous retrovirus group I member 1
LOC100131069	-	WASH complex subunit 3 pseudogene
LOC100131072	-	karyopherin subunit beta 1 pseudogene
LOC100131078	-	MOB family member 4, phocein pseudogene
LOC100131080	-	ribosomal protein S14 pseudogene
RPS8P5	RPS8_2_374	ribosomal protein S8 pseudogene 5
DNM1P17	DNM1DN17|DNM1DN17@	dynamin 1 pseudogene 17
RPL7P12	RPL7_3_208	ribosomal protein L7 pseudogene 12
RPLP1P11	RPLP1_5_1519	ribosomal protein lateral stalk subunit P1 pseudogene 11
SRP14-AS1	-	SRP14 antisense RNA1 (head to head)
ISCA1P3	-	iron-sulfur cluster assembly 1 pseudogene 3
DPP9-AS1	-	DPP9 antisense RNA 1
TNRC6C-AS1	-	TNRC6C antisense RNA 1
TATDN2P1	-	TatD DNase domain containing 2 pseudogene 1
LOC100131107	-	putative UPF0607 protein ENSP00000383783
LOC100131114	-	serine/arginine-rich splicing factor 3 pseudogene
ZBTB20-AS1	-	ZBTB20 antisense RNA 1
VN1R67P	-	vomeronasal 1 receptor 67 pseudogene
LOC100131124	-	adaptor related protein complex 4 sigma 1 subunit pseudogene
LOC100131126	-	leucine rich repeat containing 59 pseudogene
LOC100131127	-	delta 4-desaturase, sphingolipid 1 pseudogene
HNRNPA1P13	-	heterogeneous nuclear ribonucleoprotein A1 pseudogene 13
MTHFD2P4	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 4
BSPH1	BSP1|ELSPBP2	binder of sperm protein homolog 1
LINC01405	-	long intergenic non-protein coding RNA 1405
VN1R95P	-	vomeronasal 1 receptor 95 pseudogene
RPL23AP19	RPL23A_2_8	ribosomal protein L23a pseudogene 19
LOC100131146	-	DnaJ heat shock protein family (Hsp40) member C8 pseudogene
RPLP0P8	RPLP0_3_381	ribosomal protein lateral stalk subunit P0 pseudogene 8
LOC100131158	-	eukaryotic translation initiation factor 2 subunit gamma pseudogene
